sku_id,sku_name,sku_price,sku_description
SKU-3IT906P8-R2,Hammer - Anti-Vibration Rip Claw,79.48,"Hammer - Anti-Vibration Rip Claw - High quality product designed for durability and customer satisfaction. Key features include: advanced technology for better efficiency, ergonomic design for easy use, suitable for home and professional use."
SKU-3IT906P8-R3,Hammer - Lightweight Titanium 16oz,86.71,"Hammer - Lightweight Titanium 16oz - High quality product designed for durability and customer satisfaction. Key features include: easy to clean and maintain, lightweight and portable, 5-year limited warranty."
SKU-S97PENI9-R1,Air Conditioner - Window Unit 1 Ton,2943.38,"Air Conditioner - Window Unit 1 Ton - High quality product designed for durability and customer satisfaction. Key features include: energy star certified, sleek modern finish, smart connectivity options."
SKU-S97PENI9-R2,"Air Conditioner - Portable 12,000 BTU",3307.95,"Air Conditioner - Portable 12,000 BTU - High quality product designed for durability and customer satisfaction. Key features include: enhanced safety features, 5-year limited warranty, smart connectivity options."
SKU-S97PENI9-R3,Air Conditioner - Energy Efficient Split 2 Ton,2979.73,"Air Conditioner - Energy Efficient Split 2 Ton - High quality product designed for durability and customer satisfaction. Key features include: enhanced safety features, lightweight and portable, energy star certified."
SKU-GFYB69MH-R1,Power Drill - Brushless 18V Compact,51.78,"Power Drill - Brushless 18V Compact - High quality product designed for durability and customer satisfaction. Key features include: lightweight and portable, enhanced safety features, easy to clean and maintain."
SKU-GFYB69MH-R2,Power Drill - Combo Kit Hammer Drill,50.12,"Power Drill - Combo Kit Hammer Drill - High quality product designed for durability and customer satisfaction. Key features include: advanced technology for better efficiency, premium build quality, easy to clean and maintain."
SKU-GFYB69MH-R3,Power Drill - Lightweight Corded 6 Amp,42.68,"Power Drill - Lightweight Corded 6 Amp - High quality product designed for durability and customer satisfaction. Key features include: suitable for home and professional use, advanced technology for better efficiency, ergonomic design for easy use."
SKU-JXIZ80B3-R1,Ceiling Fan - 44-inch Low Profile,208.9,"Ceiling Fan - 44-inch Low Profile - High quality product designed for durability and customer satisfaction. Key features include: energy star certified, ergonomic design for easy use, smart connectivity options."
SKU-JXIZ80B3-R2,Ceiling Fan - 60-inch Outdoor Rated,159.31,"Ceiling Fan - 60-inch Outdoor Rated - High quality product designed for durability and customer satisfaction. Key features include: easy to clean and maintain, enhanced safety features, smart connectivity options."
SKU-JXIZ80B3-R3,Ceiling Fan - Modern 52-inch with LED,217.24,"Ceiling Fan - Modern 52-inch with LED - High quality product designed for durability and customer satisfaction. Key features include: sleek modern finish, premium build quality, lightweight and portable."
SKU-QRY4PYU5-R1,Lawn Mower - Electric 14-inch,745.52,"Lawn Mower - Electric 14-inch - High quality product designed for durability and customer satisfaction. Key features include: easy to clean and maintain, enhanced safety features, ergonomic design for easy use."
SKU-QRY4PYU5-R2,Lawn Mower - Self-Propelled 22-inch,646.99,"Lawn Mower - Self-Propelled 22-inch - High quality product designed for durability and customer satisfaction. Key features include: 5-year limited warranty, lightweight and portable, enhanced safety features."
SKU-QRY4PYU5-R3,Lawn Mower - Battery Powered 20-inch,706.53,"Lawn Mower - Battery Powered 20-inch - High quality product designed for durability and customer satisfaction. Key features include: smart connectivity options, easy to clean and maintain, energy star certified."
SKU-JAZ91ZWW-R1,Circular Saw - 6-1/2 inch Cordless,229.49,"Circular Saw - 6-1/2 inch Cordless - High quality product designed for durability and customer satisfaction. Key features include: enhanced safety features, sleek modern finish, ergonomic design for easy use."
SKU-JAZ91ZWW-R2,Circular Saw - Worm Drive Heavy Duty,189.99,"Circular Saw - Worm Drive Heavy Duty - High quality product designed for durability and customer satisfaction. Key features include: energy star certified, lightweight and portable, suitable for home and professional use."
SKU-JAZ91ZWW-R3,Circular Saw - Compact Trim Saw,227.99,"Circular Saw - Compact Trim Saw - High quality product designed for durability and customer satisfaction. Key features include: sleek modern finish, smart connectivity options, suitable for home and professional use."
SKU-P6461NX1-R1,Refrigerator - French Door 25 cu ft,675.99,"Refrigerator - French Door 25 cu ft - High quality product designed for durability and customer satisfaction. Key features include: easy to clean and maintain, suitable for home and professional use, smart connectivity options."
SKU-P6461NX1-R2,Refrigerator - Compact Mini 3.1 cu ft,520.99,"Refrigerator - Compact Mini 3.1 cu ft - High quality product designed for durability and customer satisfaction. Key features include: lightweight and portable, smart connectivity options, premium build quality."
SKU-P6461NX1-R3,Refrigerator - Side-by-Side 22 cu ft,591.99,"Refrigerator - Side-by-Side 22 cu ft - High quality product designed for durability and customer satisfaction. Key features include: 5-year limited warranty, premium build quality, suitable for home and professional use."
